/*
/* KAMKE SET
/*

 1 y(x).diff(x)=(a4*x**4+a3*x**3+a2*x**2+a1*x+a0)**(-1/2)
 2 y(x).diff(x)+a*y(x)=c*exp(b*x)
 3 y(x).diff(x)+a*y(x)=b*sin(c*x)
 4 y(x).diff(x)+2*x*y(x)=x*exp(-x**2)
 5 y(x).diff(x)+y(x)*cos(x)=exp(2*x)
 6 y(x).diff(x)+y(x)*cos(x)=1/2*sin(2*x)
 7 y(x).diff(x)+y(x)*cos(x)=exp(-sin(x))
 8 y(x).diff(x)+y(x)*tan(x)=sin(2*x)
 9 y(x).diff(x)=(sin(log(x))+cos(log(x))+a)*y(x)
10 y(x).diff(x)+f(x).diff(x)*y(x)=f(x)*f(x).diff(x)

/***********
/*10       *
/***********

11 y(x).diff(x)+f(x)*y(x)=g(x)
12 y(x).diff(x)+y(x)**2=1
13 y(x).diff(x)+y(x)**2=a*x+b
14 y(x).diff(x)+y(x)**2+a*x**m=0
15 y(x).diff(x)+y(x)**2-2*x**2*y(x)+x**4-2*x-1=0
16 y(x).diff(x)+y(x)**2+(x*y(x)-1)*f(x)=0
17 y(x).diff(x)-y(x)**2-3*y(x)+4=0
18 y(x).diff(x)-y(x)**2-x*y(x)-x+1=0
19 y(x).diff(x)=(y(x)+x)**2
20 y(x).diff(x)-y(x)**2+(x**2+1)*y(x)-2*x=0

/***********
/*20       *
/***********

21 y(x).diff(x)-y(x)**2+y(x)*sin(x)-cos(x)=0
22 y(x).diff(x)-y(x)**2+y(x)*sin(2*x)+cos(2*x)=0
23 y(x).diff(x)+a*y(x)**2=b
24 y(x).diff(x)+a*y(x)**2=b*x**alpha
25 y(x).diff(x)+a*y(x)**2=b*x**(2*alpha)+c*x**(alpha-1)
26 y(x).diff(x)=(A*y(x)-a)*(B*y(x)-b)
27 y(x).diff(x)+a*y(x)*(y(x)-x)=1
28 y(x).diff(x)+x*y(x)**2-x**3*y(x)-2*x=0
29 y(x).diff(x)-x*y(x)**2-3*x*y(x)=0
/*Solucion Doble
30 y(x).diff(x)+x**(-a-1)*y(x)**2=x**a

/***********
/*30       *
/***********

31 y(x).diff(x)-a*x**n*(y(x)**2+1)=0
32 y(x).diff(x)+y(x)**2*sin(x)=2*sin(x)/cos(x)**2
33 y(x).diff(x)=y(x)**2*f(x).diff(x)/g(x)-g(x).diff(x)/f(x)
34 y(x).diff(x)+f(x)*y(x)**2+g(x)*y(x)=0
35 y(x).diff(x)+f(x)*(y(x)**2+2*a*y(x)+b)=0
36 y(x).diff(x)+y(x)**3+a*x*y(x)**2=0
37 y(x).diff(x)=y(x)**3-a*exp(x)*y(x)**2
38 y(x).diff(x)=a*y(x)**3+b*x**(-3/2)
39 y(x).diff(x)=a3*y(x)**3+a2*y(x)**2+a1*y(x)+a0
40 y(x).diff(x)+3*a*y(x)**3+6*a*x*y(x)**2=0

/***********
/*40       *
/***********

41 y(x).diff(x)+3*a*y(x)**3+6*a*x*y(x)**2=0
42 y(x).diff(x)+a*x*y(x)**3+b*y(x)**2=0
43 y(x).diff(x)=x*(x+2)*y(x)**3+(x+3)*y(x)**2
44 y(x).diff(x)+2*a*x**3*y(x)**3+2*x*y(x)=0
45 y(x).diff(x)+2*(a**2*x**3-b**2*x)*y(x)**3+3*b*y(x)**2=0
46 y(x).diff(x)-x**a*y(x)**3+3*y(x)**2-x**(-a)*y(x)-x**(-2*a)+a*x**(-a-1)=0
47 y(x).diff(x)=a*(x**n-x)*y(x)**3+y(x)**2
48 y(x).diff(x)=(a*x**n+b*x)*y(x)**3+c*y(x)**2
49 y(x).diff(x)+a*phi(x).diff(x)*y(x)**3+6*a*phi(x)*y(x)**2+(2*a+1)*y(x)*(phi(x).diff(x,2)/phi(x).diff(x))*y(x)+2*(a+1)=0
50 y(x).diff(x)=f3(x)*y(x)**3+f2(x)*y(x)**2+f1(x)*y(x)+f0(x)

/***********
/*50       *
/***********

51 y(x).diff(x)=(y(x)-f(x))*(y(x)-g(x))*(y(x)-(a*f(x)+b*g(x))/(a+b))*h(x)+f(x).diff(x)*(y(x)-g(x))/(f(x)-g(x))+g(x).diff(x)*(y(x)-f(x))/(g(x)-f(x))
52 y(x).diff(x)=a*y(x)**n+b*x**(n/(1-n))
53 y(x).diff(x)-y(x)**(1-n)*g(x).diff(x)*y(x)**n/(a*g(x)+b)**n-y(x)*f(x).diff(x)/f(x)-f(x)*g(x).diff(x)=0
54 y(x).diff(x)=a**n*f(x)**(1-n)*g(x).diff(x)*y(x)**n+f(x).diff(x)/f(x)+f(x)*g(x).diff(x)
55 y(x).diff(x)=f(x)*y(x)**n+g(x)*y(x)+h(x)
56 y(x).diff(x)+f(x)*y(x)**a+g(x)*y(x)**b=0
57 y(x).diff(x)=abs(y(x))**(1/2)
58 y(x).diff(x)=a*y(x)**(1/2)+b*x
59 y(x).diff(x)=a*(y(x)**2+1)**(1/2)+b
60 y(x).diff(x)=(y(x)**2-1)**(1/2)/(x**2-1)**(1/2)

/***********
/*60       *
/***********

61 y(x).diff(x)=(x**2-1)**(1/2)/(y(x)**2-1)**(1/2)
62 y(x).diff(x)=(y(x)-x**2*(x**2-y(x)**2)**(1/2))/(x*y(x)*(x**2-y(x)**2)**(1/2)+x)
63 y(x).diff(x)=(y(x)**2+1)/(abs(y(x)+(1+y(x))**(1/2))*(1+x)**(3/2))
64 y(x).diff(x)=((a*y(x)**2+b*y(x)+c)/(a*x**2+b*x+c))**(1/2)
65 y(x).diff(x)=((y(x)**3+1)/(x**3+1))**(1/2)
66 y(x).diff(x)=abs(y(x)*(1-y(x))*(1-a*y(x)))**(1/2)/abs(x*(1-x)*(1-a*x))**(1/2)
67 y(x).diff(x)=(1-y(x)**4)**(1/2)/(1-x**4)**(1/2)
68 y(x).diff(x)=((a*y(x)**4+b*y(x)**2+1)/(a*x**4+b*x**2+1))**(1/2)
69 y(x).diff(x)=((b4*y(x)**4+b3*y(x)**3+b2*y(x)**2+b1*y(x)+b0)*(a4*x**4+a3*x**3+a2*x**2+a1*x+a0))**(1/2)
70 y(x).diff(x)=((a4*x**4+a3*x**3+a2*x**2+a1*x+a0)/(b4*y(x)**4+b3*y(x)**3+b2*y(x)**2+b1*y(x)+b0))**(1/2)

/***********
/*70       *
/***********

71 y(x).diff(x)=((b4*y(x)**4+b3*y(x)**3+b2*y(x)**2+b1*y(x)+b0)/(a4*x**4+a3*x**3+a2*x**2+a1*x+a0))**(1/2)
/*72 y(x).diff(x)-R1(x,(a4*x^4+a3*x^3+a2*x^2+a1*x+a0)^(1/2)]*R2[y[x],(b4*y[x]^4+b3*y[x]^3+b2*y[x]^2+b1*y[x]+b0)^(1/2)]=0
73 y(x).diff(x)=((a3*x**3+a2*x**2+a1*x+a0)/(a3*y(x)**3+a2*y(x)**2+a1*y(x)+a0))**(2/3)
74 y(x).diff(x)=f(x)*(y(x)-g(x))*((y(x)-a)*(y(x)-b))**(1/2)
75 y(x).diff(x)-exp(x-y(x))+exp(x)=0
76 y(x).diff(x)=a*cos(y(x)+b)
/*76 es diferente en Abbasi
77 y(x).diff(x)=cos(a*y(x)+b*x)
78 y(x).diff(x)+a*sin(b*y(x)+c*x)+d=0
79 y(x).diff(x)+f(x)*cos(a*y(x))+g(x)*sin(a*y(x))+h(x)=0
80 y(x).diff(x)+f(x)*sin(y(x))+(1-f(x).diff(x))*cos(y(x))=f(x).diff(x)+1

/***********
/*80       *
/***********

